그룹명,멤버
Keyakizaka46," 우에무라 리나(上村莉菜), 오제키 리카(尾関梨香), 코이케 미나미(小池美波), 코바야시 유이(小林由依), 사이토 후유카(齋藤冬優花), 스가이 유우카(菅井友香), 하부 미즈호(土生瑞穂), 하라다 아오이(原田葵), 모리야 아카네(守屋茜), 와타나베 리카(渡辺梨加), 와타나베 리사(渡邉理佐), 이노우에 리나(井上梨名), 엔도 히카리(遠藤光莉), 오오조노 레이(大園玲), 오오누마 아키호(大沼晶保), 코우사카 마리노(幸阪茉里乃), 세키 유미코(関有美子), 타케모토 유이(武元唯衣), 타무라 호노(田村保乃), 후지요시 카린(藤吉夏鈴), 마스모토 키라(増本綺良), 마츠다 리나(松田里奈), 모리타 히카루(森田ひかる), 모리야 레나(守屋麗奈), 야마사키 텐(山﨑天) "
Foster The People," 마크 포스터(Mark Foster, 보컬), 마크 폰티우스(Mark Pontius, 드럼), 쿠비 핑크(Cubbie Fink, 베이스) "
스웨덴세탁소," 왕세윤(기타, 코러스), 최인영(보컬, 건반) "
디어클라우드," 나인(보컬), 이랑(베이스), 토근(드럼) "
S Club 7," 한나 스피어릿(Hannah Spearritt), 레이첼 스티븐스(Rachel Stevens), 티나 배럿(Tina Barrett), 폴 카터몰(Paul Cattermole), 존 리(Jon Lee), 브래들리 매킨토시(Bradley McIntosh), 조 오미라(Jo O) "
핸섬피플," 엄주혁(기타), 테이(보컬), 영호(키보드) "
순순희," 기태, 미러볼, 윤지환 "
투엑스," 지유, 은, 수린, 은영 "
원펀치 ," 1(리더, 랩), 펀치(보컬) "
핑클 ," 이효리(리더, 보컬), 성유리(보컬), 이진(보컬), 옥주현(리드보컬) "
Cobra Starship," 게이브 사포르타(Gabe Saporta, 보컬), 알렉스 수아레스(Alex Suarez, 베이스, 신디사이저), 라이랜드 블랙인튼(Ryland Blackinton, 기타, 신디사이저), 빅토리아 어셔(Victoria Asher, 기타, 보컬), 네이트 노바로(Nate Novarro, 드럼, 퍼커션) "
소녀시대 ," 태연, 써니, 티파니, 효연, 유리, 수영, 윤아, 서현 "
틴탑," 캡, 니엘, 리키, 창조, 천지 "
구남과여라이딩스텔라," 조웅(기타, 보컬), 김나언(키보드, 베이스), 유주현(드럼) "
써니데이즈," 선경(리더), 다영, 솜, 희라, 정윤 "
소리엘," 장혁재(보컬, 프로듀서), 지명현(보컬) "
NewS," 마스다 타카히사(増田貴久), 코야마 케이치로(小山慶一郎), 카토 시게아키(加藤シゲアキ) "
빅스LR," 레오, 라비 "
Bee Gees," 배리 깁(Barry Gibb, 기타), 로빈 깁(Robin Gibb, 보컬, 피아노), 모리스 깁(Maurice Gibb, 기타) "
삼총사," 박경우(보컬, 리더), 지영일(보컬), 강대웅(보컬) "
루나플라이," 샘, 한승윤, 하진, 상엽 "
리미트리스 ," 장문복(랩), A.M(랩, 리더), 레이찬(보컬) "
EXO-CBX ," 시우민, 백현, 첸 "
투나이스," 존(리더), 호현(프로듀서), 조군(메인보컬) "
Honeyworks, 일본음악 
Do As Infinity," 반 토미코(보컬), 오와타리 료(기타, 보컬) "
백퍼센트," 혁진(보컬), 록현(메인보컬), 찬용(랩), 민우(보컬), 종환(보컬) "
비스트," 윤두준(리더, 보컬), 양요섭(메인보컬), 이기광(보컬), 용준형(랩), 손동운(보컬) "
Supreme Team," Simon D, E SENS "
Fifth Harmony," 알리 브룩(Ally Brooke, 보컬), 노르마니 코르데이(Normani Kordei, 보컬), 디나 제인 핸서니(Dinah Jane Hansen, 보컬), 로렌 요레구이(Lauren Jauregui, 보컬) "
P1Harmony," 기호, 테오, 지웅, 인탁, 소울, 종섭 "
Kinki Kids," 도모토 츠요시(堂本剛), 도모토 코이치(堂本光一) "
청춘학개론," 조융, 이시영 "
용국&시현," 용국, 시현 "
코드브이," 재원(랩), 솔(보컬), 상우(메인보컬), 나로(메인보컬), 루이(보컬) "
톡식," 김슬옹(보컬, 드럼, DJ), 김정우(보컬, 기타, 키보드) "
A.C.E ," 준, 동훈, 와우, 김병관, 찬 "
Stray Kids ," 방찬, 리노, 창빈, 현진, 한, 필릭스, 승민, 아이엔 "
명콜드라이브," 박명수, 니콜 "
MFBTY," 타이거 JK, 윤미래, 비지 "
HKT48," HKT48 팀H, HKT48 팀K4 "
길구봉구," 길구, 봉구 "
신치림," 윤종신(보컬), 하림(보컬, 프로듀스), 조정치(기타) "
센치한 하하 ," 십센치, 하하 "
Dan + Shay," 댄 스미어스, 셰이 무니 "
업타운, 브라우니(보컬) 
우주히피," 한국인(보컬, 기타) "
유리상자," 박승화(보컬), 이세준(보컬) "
블랙펄," 정민, 휘은, 나미, 영주 "
피기돌스," 이지영, 이은영, 강은영 "
Far East Movement," 케브 니시(Kev Nish), 프로그레스(Prohgress), 제이 스플리프(J-Splif), 디제이 버맨(DJ Virman) "
넥스트," 신해철(보컬), 지현수(키보드), 김세황(기타), 제이드(베이스), 김단(드럼), 이현섭 "
셀럽파이브," 송은이, 신봉선, 김신영, 안영미 "
헤리티지," 효식(리더), 희영, 이신희, 이철규, 이경선 "
amazarashi," 아키타 히로무(보컬, 기타), 토요카와 마나미(키보드) "
헤이걸스," 사라, 설희, 채린, 제인, 다은 "
브로큰 발렌타인," 변성환(베이스), 지환(기타), 쿠파(드럼), 김경준(보컬), 박준호(기타) "
LC9," 제이효, 라사, 킹, 아오, 준, 이든 "
